Area,Latitude,Longitude
Al Mushrif,24.443699,54.386875
Al Manhal,24.465607,54.365719
Al Khalidiyah,24.470393,54.349521
AL Hisn,24.484465,54.3555
Al Bateen,24.450852,54.355163
Al Marina,24.4777356,54.3175435
Al Nahyan Camp,24.465639,54.382777
Al Karamah ,24.457136,54.373956
Al Danah,24.490382,54.36964
Al Reem island,24.493155,54.406818
Al Zahiyah,24.499715,54.377381
Zayed Port,24.5252827,54.3784787
Al Maqta,24.4054271,54.5034895
Mangrove Village,24.3920508,54.4907378
Khalifa City,24.413137,54.568573
New Al Falah,24.444589,54.7180509
Yas North,24.5053057,54.5861425
Al Shahama,24.524616,54.681826
Al Bahyah,24.555767,54.663923
Al Raha,24.4200402,54.5380699
Al Falah ,24.478219,54.369976
AL Saadah,24.4356178,54.4206797
Al Maarid,24.4222394,54.4317442
Al Muntazah,24.4302634,54.4492484
Mussafah,24.354703,54.501536
MBZ,24.340538,54.553476
Shakhbout City,24.363455,54.658874
Al Bateen-Cornish,24.459358,54.339387
Zayed Sport City,24.415073,54.4575
Al Qurm,24.45609,54.393681
Maryah Island,24.50178,54.389823
Al Mushrif- Arab Gulf road,24.429807,54.410378
